fuel_frac,crit_radius,ref_mult,mass_std
0.20,35.80979,0.02216,0.00019
0.29,28.60201,0.02216,0.00017
0.38,24.29000,0.02216,0.00016
0.47,21.28667,0.02216,0.00017
0.56,19.08585,0.02216,0.00012
0.64,17.32779,0.02216,0.00012
0.73,15.91326,0.02216,0.00013
0.82,14.73837,0.02216,0.00013
0.91,13.73253,0.02216,0.00017
1.00,12.84990,0.02216,0.00018
