fuel_frac,crit_radius,ref_mult,mass_std
0.20,37.68401,0.21134,0.00017
0.28,29.88380,0.21134,0.00010
0.37,25.13689,0.21134,0.00012
0.45,21.93465,0.21134,0.00008
0.53,19.51014,0.21134,0.00011
0.62,17.67208,0.21134,0.00007
0.70,16.17064,0.21134,0.00007
0.78,14.93566,0.21134,0.00007
0.87,13.88175,0.21134,0.00007
0.95,12.97648,0.21134,0.00009
1.00,12.50792,0.21134,0.00006
